page_id,page_name,disclaimer,amount_spent_pen,number_of_ads
393774177491180,Angelica Apolinario,Luz Angelica Apolinario Llanco,3473,30
1210480918975729,ExitoFem,These ads ran without a disclaimer,3445,3
111942100714385,Lucho Sarango Seminario,Luis Alberto Sarango Seminario,3417,85
113716881103703,Juan Carlos Zevallos,Arturo Castilla,3410,32
109721698040967,EnConsulta.pe,GOBIERNA CONSULTORES,3405,17
347630472026862,Jose Gallo,Jose Antonio Gallo Pedemonte,3403,17
101382872505878,Dennis Sánchez,Dennis Sánchez,3402,47
128400214531888,PPP Partido Patriótico del Perú,Herbert Caller Gutierrez,3397,20
996199500463446,Rosa Bautista Al Congreso,Jhonatan Alfredo Flores Cuya,3389,5
621241797959966,Martha Baldeon,Danny Baldeon Remuzgo,3387,38
161024241267665,Julio César Silva Meneses - Abogado,Julio César Silva Meneses,3386,65
108289588086058,Comunismo Jamás,Luis Dianderas Caceres,3374,18
100692322242812,Mag. Juan Carlos Collado Felix,Mag Juan Carlos Collado,3365,93
104774481450085,La Mendoza K12,Leonardo Benjamin Castro Pozo Chavez,3339,65
1671834356419198,Marco Curi,Marco Curi Perales,3326,13
107854269243024,Cámara de Comercio de Lima,These ads ran without a disclaimer,3301,7
101486158619208,La MISKI Al  Congreso,María Jesús Rodríguez Nuñez,3301,49
114428030003661,Alex Flores Ramírez,Alex Randu Flores Ramírez,3279,17
102607718645901,Pepe Luna SJL,Gerald Alberto Mejía Vásquez,3234,3
269977736834906,Juan Enrique Dupuy,MAP,3219,14
346829165513127,Compromiso Médico por el Perú,Cesar Alvaro Rondón Quispe,3215,22
107972128106412,Adelante Perú,Adelante Peru,3203,37
209162673317699,ManoBook,These ads ran without a disclaimer,3192,10
455802295156178,Nuestramerica TV,Peter Deniss Salguero Contreras,3185,123
101141151981362,JC Mercado,Juan Carlos Mercado Torres,3170,138
105566621000561,Juntos en otra victoria,Bruno Eduardo Marin Jiga,3161,12
650993505514084,Jherson Atoche Chunga,Jherson Jose Atoche Chunga,3108,37
100112368695046,Verdad Milanesa,Racso Gerardo Guillermino Miro Quesada,3106,24
104883417709021,Robinson Gupioc,Diana Huancaya Matos,3099,16
100741848690728,Marlon Alarcón,Marlon Kenny Alarcón Azplicueta,3079,5
1789685151346147,Gina Galvez,Aaron Esteban Huaynate Espinoza,3056,17
104528374283784,Manuel del Águila,Manuel Fernando Del Aguila Zuñiga,3049,59
161405827846629,Juan Manuel García,Juan Manuel García,3049,38
497921403555219,FIELD,These ads ran without a disclaimer,3021,3
267352327131230,Podemos Perú - Ica,Jhonatan Alfredo Flores Cuya,3000,1
247968995742693,Podemos Perú - Áncash,Jhonatan Alfredo Flores Cuya,3000,1
1913645298646217,Podemos Perú - Loreto,Jhonatan Alfredo Flores Cuya,3000,1
369208709863495,Marité Bustamante,Marité Bustamante,2972,51
112895666830094,Leonor Chambi Palero,Leonor Avelino Chambi Palero,2965,27
101297472043011,Candidatos Bicentenario Perú,Mylene Carol  Romero Goytendia,2962,25
113163117039969,Dr. Jorge Ayala,Jorge Winder Ayala Gonzalez,2946,55
282226805139684,Janet Cubas,Jorge Atila Arevalo Chilon,2920,8
279850938750187,Politólogos Digitales,Politólogos Digitales,2828,35
110873748930241,Universidad Científica del Sur,These ads ran without a disclaimer,2826,1
106807872031579,Christian A. Zegarra,Progresista de Apurímac,2824,33
518272571603665,Yo También Tengo Algo que Decir,Paz y Esperanza,2814,38
200478833663042,Land Rights Now,These ads ran without a disclaimer,2808,3
105566838477273,Leonor Carolina Romero - Abogada,Julio César Silva Meneses,2795,34
100947848530320,Norith Grandez,Marden Navarro Rengifo,2780,13
153817774632826,Reacciona PIURA,Ricardo Vicente Sancarranco Navarrete,2778,38
106846268009745,Margarita Rodriguez,Lucas Fidencio Rodríguez Tineo,2769,12
105853488326466,ONU Cambio Climático,These ads ran without a disclaimer,2760,2
283647955155472,Sigrid Bazan,Paul Kevin Puelles Cárdenas,2759,19
266879337299982,Jane Cuchilla JP1,Diego Alberto Crispin Paz,2754,29
414139832118173,Ciro Castillo - Callao,Antonio Castillo Rojo Garcia Caballero,2750,18
100199365350176,Rosenith,Rosenith Pinedo Dávila,2738,11
108786050805720,Milton Jiménez Salazar,Milton F. Jimenez Salazar,2730,15
859489764089847,Mariano González,Rosa Elvira Guayanay Flores,2724,41
1072578546139663,Teoría de la unión de los 5 continentes,Josue Balta Portella,2719,13
109810631282054,100% Colectivo Ciudadano,Lucas Fidencio Rodríguez Tineo,2704,3
122364724975135,Livia Flórez - Página Oficial,Livia Esther Flórez Fernandez,2696,5
104015498308517,Edwer Tuesta Hidalgo,AUGE GROUP CORPORATION SAC,2693,3
101907558397704,Edilberto Robles por Ancash,Kelly Karen Cubeños Sanchez,2688,13
108771534158749,Willian Sánchez al Congreso,Daniela Nicole Ledesma Susanibar,2685,22
107177257988205,Jesús Sandoval al Congreso,Jonathan Kenyi Granados Okahara,2678,26
494683000983271,Dr. Marco Ramos,Marco Ramos,2666,29
113121657268838,Mónica Daga,Ramiro Omar Blas Chavez,2638,16
883608538372189,Cidap Perú,José Antonio Mangini Sánchez,2637,30
104495468180626,Gianina Manrique Mansilla,Valeria Jazmin Aponte Jurado,2618,60
343032176932098,Deisy Hurtado - Parlamento Andino,Viictorr Hugo Collantes Fournier,2614,53
332503550172994,Gobierno Regional de Apurímac,Miguel Angel Lagos Fuentes,2607,16
254965308328608,Políticos Mentirosos,These ads ran without a disclaimer,2606,7
235391323233632,PNUD Perú,Programa de las Naciones Unidas para el Desarrollo,2592,9
101281398014623,Jorge Rodríguez Rios,Brian Silvestre Greco Quispe,2591,35
540615902771585,Flor Borja Gutierrez,EVANZU,2591,18
377126002943328,Reconstrucción Nacional,Marvin Vila Gadea,2587,47
495706950531442,Pepe Feria,Jonathan Salazar Aguilar,2580,10
1969582676638815,Podemos Perú - Cusco,William Rene Vega Mamani,2580,4
104595184889000,Mercedes Valdivia,Mercedes Marcela Valdivia Chalco,2578,14
